timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulate (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-21T11:28:00.029626;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13005;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:25:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:29:00.005694;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12997;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:26:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:30:00.995292;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00061;13005;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:28:00;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:31:00.960499;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12998;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:28:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:32:00.933772;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13005;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:29:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:34:00.749766;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00025;12994;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:31:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:35:00.724690;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12974;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:32:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:36:00.698274;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12968;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:33:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000003
2023-02-21T11:37:00.690923;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12975;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:34:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:38:00.661585;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12991;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:35:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:40:00.484824;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00062;12996;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:37:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:45:00.976508;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00058;12998;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:43:00;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
