timestamp;Particle size (mm);Particle speed (mm/h)
2023-02-23T16:56:00.765872;00.390;01.932
2023-02-23T16:56:00.765872;00.385;01.349
2023-02-23T16:56:00.765872;00.422;00.684
2023-02-23T16:56:00.765872;00.751;02.814
2023-02-23T16:56:00.765872;00.556;02.034
2023-02-23T16:56:00.765872;00.508;02.281
2023-02-23T16:56:00.765872;00.378;00.695
2023-02-23T16:56:00.765872;00.640;01.721
2023-02-23T16:56:00.765872;00.922;02.936
2023-02-23T16:56:00.765872;00.639;01.915
2023-02-23T16:56:00.765872;00.643;02.410
2023-02-23T16:56:00.765872;00.799;03.100
2023-02-23T16:56:00.765872;00.577;01.598
2023-02-23T16:56:00.765872;00.674;01.795
2023-02-23T16:56:00.765872;00.542;00.751
2023-02-23T16:56:00.765872;00.994;03.215
2023-02-23T16:56:00.765872;00.470;01.795
2023-02-23T16:56:00.765872;01.240;03.986
2023-02-23T16:56:00.765872;00.585;01.450
2023-02-23T16:56:00.765872;01.032;03.178
2023-02-23T16:56:00.765872;01.285;03.356
2023-02-23T16:56:00.765872;01.067;03.455
2023-02-23T16:56:00.765872;00.906;02.820
2023-02-23T16:56:00.765872;00.605;01.901
2023-02-23T16:56:00.765872;00.578;02.222
2023-02-23T16:56:00.765872;00.570;02.224
2023-02-23T16:56:00.765872;01.158;03.692
2023-02-23T16:56:00.765872;01.068;01.827
2023-02-23T16:56:00.765872;00.636;02.031
2023-02-23T16:56:00.765872;00.672;01.964
2023-02-23T16:56:00.765872;00.521;01.657
2023-02-23T16:56:00.765872;01.439;03.735
2023-02-23T16:56:00.765872;01.071;03.471
2023-02-23T16:56:00.765872;01.008;03.121
2023-02-23T16:56:00.765872;00.900;02.653
2023-02-23T16:56:00.765872;00.823;01.913
2023-02-23T16:56:00.765872;01.206;02.988
2023-02-23T16:56:00.765872;00.879;02.664
2023-02-23T16:56:00.765872;00.967;02.941
2023-02-23T16:56:00.765872;00.611;01.798
2023-02-23T16:56:00.765872;00.636;00.636
2023-02-23T16:56:00.765872;00.661;01.847
2023-02-23T16:56:00.765872;00.935;03.004
2023-02-23T16:56:00.765872;00.668;01.727
2023-02-23T16:56:00.765872;01.128;03.595
2023-02-23T16:56:00.765872;00.656;01.631
2023-02-23T16:56:00.765872;01.025;02.603
2023-02-23T16:56:00.765872;00.536;01.756
2023-02-23T16:56:00.765872;00.859;02.103
2023-02-23T16:56:00.765872;00.617;01.303
2023-02-23T16:56:00.765872;00.621;01.354
2023-02-23T16:56:00.765872;00.761;01.958
2023-02-23T16:56:00.765872;00.574;01.171
2023-02-23T16:56:00.765872;00.794;02.429
2023-02-23T16:56:00.765872;00.697;01.544
2023-02-23T16:56:00.765872;00.575;01.437
2023-02-23T16:56:00.765872;00.856;02.544
2023-02-23T16:56:00.765872;00.525;01.028
2023-02-23T16:56:00.765872;00.644;01.508
2023-02-23T16:56:00.765872;00.550;01.011
2023-02-23T16:56:00.765872;01.017;02.837
2023-02-23T16:56:00.765872;01.220;03.496
2023-02-23T16:56:00.765872;00.618;01.156
2023-02-23T16:56:00.765872;00.706;01.435
2023-02-23T16:56:00.765872;00.509;01.052
2023-02-23T16:56:00.765872;00.796;02.151
2023-02-23T16:56:00.765872;00.654;01.851
2023-02-23T16:56:00.765872;00.641;01.644
2023-02-23T16:56:00.765872;00.706;01.657
2023-02-23T16:56:00.765872;00.746;01.701
2023-02-23T16:56:00.765872;00.623;01.424
2023-02-23T16:56:00.765872;01.035;02.840
2023-02-23T16:56:00.765872;00.974;02.427
2023-02-23T16:56:00.765872;00.938;02.204
2023-02-23T16:56:00.765872;00.448;03.901
2023-02-23T16:56:00.765872;00.848;01.725
2023-02-23T16:56:00.765872;00.582;01.214
2023-02-23T16:56:00.765872;00.654;02.035
2023-02-23T16:56:00.765872;00.433;00.927
2023-02-23T16:56:00.765872;00.661;01.880
2023-02-23T16:56:00.765872;00.770;02.433
2023-02-23T16:56:00.765872;00.451;02.108
2023-02-23T16:56:00.765872;00.546;01.453
2023-02-23T16:56:00.765872;01.132;02.930
2023-02-23T16:56:00.765872;00.557;01.313
2023-02-23T16:56:00.765872;01.327;03.768
2023-02-23T16:56:00.765872;01.024;03.134
2023-02-23T16:56:00.765872;00.558;01.850
2023-02-23T16:56:00.765872;00.576;02.154
2023-02-23T16:56:00.765872;00.690;01.703
2023-02-23T16:56:00.765872;00.499;01.646
2023-02-23T16:56:00.765872;00.558;01.388
2023-02-23T16:56:00.765872;00.533;01.472
2023-02-23T16:56:00.765872;00.521;01.725
2023-02-23T16:56:00.765872;00.673;01.768
2023-02-23T16:56:00.765872;01.010;02.591
2023-02-23T16:56:00.765872;00.517;01.622
2023-02-23T16:56:00.765872;00.870;02.973
2023-02-23T16:56:00.765872;00.723;02.256
2023-02-23T16:56:00.765872;01.533;04.086
2023-02-23T16:56:00.765872;00.674;01.555
2023-02-23T16:56:00.765872;00.726;02.017
2023-02-23T16:56:00.765872;01.033;02.599
2023-02-23T16:56:00.765872;00.549;00.873
2023-02-23T16:56:00.765872;00.466;01.289
2023-02-23T16:56:00.765872;00.831;02.622
2023-02-23T16:56:00.765872;00.555;01.304
2023-02-23T16:56:00.765872;00.575;01.815
2023-02-23T16:56:00.765872;00.394;00.730
2023-02-23T16:56:00.765872;00.710;02.009
2023-02-23T16:56:00.765872;00.886;03.176
2023-02-23T16:56:00.765872;00.852;02.591
2023-02-23T16:56:00.765872;01.071;03.727
2023-02-23T16:56:00.765872;00.454;01.082
2023-02-23T16:56:00.765872;00.883;02.926
2023-02-23T16:56:00.765872;01.120;02.663
2023-02-23T16:56:00.765872;00.612;01.617
2023-02-23T16:56:00.765872;00.628;01.342
2023-02-23T16:56:00.765872;01.119;03.396
2023-02-23T16:56:00.765872;00.626;01.536
2023-02-23T16:56:00.765872;01.024;03.268
2023-02-23T16:56:00.765872;01.503;04.229
2023-02-23T16:56:00.765872;00.563;01.586
2023-02-23T16:56:00.765872;00.898;02.603
