timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulated 16bit (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-25T00:49:00.144991;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12903;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:46:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:50:00.118709;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12879;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:47:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000001
2023-02-25T00:51:00.107284;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12889;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:48:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:52:00.080600;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12888;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:49:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:53:00.053846;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12887;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:50:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:54:00.026959;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12884;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:51:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:55:00.001171;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12902;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:52:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:56:00.975663;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00061;12908;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:54:00;25.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:57:00.941160;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12890;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:55:00;25.02.2023;GV;008;0003.69;000;018;011;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:58:00.914226;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12888;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:56:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000001
